,amenity,name,geometry,lon,lat
195,bank,One Network Bank,POINT (124.824929 7.106917),124.824929,7.106917
196,bank,One Network Bank,POINT (125.0839324 6.962638),125.0839324,6.962638
197,bank,One Network Bank,POINT (124.8997902 7.0839909),124.8997902,7.0839909
198,bank,Bank of Philippine Island,POINT (125.3553818 6.751544),125.3553818,6.751544
199,bank,Enterprise Bank,POINT (125.3556089 6.7461271),125.3556089,6.7461271
200,bank,One Network Bank,POINT (124.5346964 7.1884792),124.5346964,7.1884792
201,bank,One Network Bank,POINT (124.886121 6.9475356),124.886121,6.9475356
202,bank,One Network Bank,POINT (124.8940614 6.8234131),124.8940614,6.8234131
203,bank,One Network Bank,POINT (124.8454603 6.5025821),124.8454603,6.5025821
204,bank,One Network Bank,POINT (124.7477351 6.3736652),124.7477351,6.3736652
205,bank,PNB,POINT (121.0004 6.0536224),121.0004,6.0536224
206,bank,Landbank,POINT (121.0020941 6.0531506),121.0020941,6.0531506
207,bank,Allied Bank,POINT (120.9997727 6.0520675),120.9997727,6.0520675
208,bank,EastWest Unibank,POINT (125.1714802 6.1095434),125.1714802,6.1095434
209,bank,network bank,POINT (124.3274918 6.4589087),124.3274918,6.4589087
210,bank,Landbank City Hall Branch,POINT (124.2349076 7.1975442),124.2349076,7.1975442
211,bank,Philippines National Bank,POINT (124.2471602 7.2220937),124.2471602,7.2220937
212,bank,EastWest Bank,POINT (124.2488477 7.2212318),124.2488477,7.2212318
213,bank,PNB,POINT (124.2517951 7.2217831),124.2517951,7.2217831
214,bank,Bangko Sentral ng Pilipinas,POINT (124.2464653 7.2217074),124.2464653,7.2217074
215,bank,One Network Bank,POINT (125.1715763 6.1367387),125.1715763,6.1367387
216,bank,SIFAMCO Office,POINT (125.0024602 7.7590037),125.0024602,7.7590037
217,bank,DBP,POINT (121.0009511 6.053117),121.0009511,6.053117
218,bank,Landbank of the Philippines,POINT (123.0552092 7.7283843),123.0552092,7.7283843
219,bank,Sterling Bank,POINT (124.6446378 8.479154299999999),124.6446378,8.4791543
220,bank,Asia United Bank,POINT (124.6377221 8.481431000000001),124.6377221,8.481431
221,bank,PNB,POINT (119.772937 5.031189),119.772937,5.031189
222,bank,One Network Bank,POINT (124.5197798 6.7209519),124.5197798,6.7209519
223,bank,1st Valley Bank,POINT (122.0909871 6.9317615),122.0909871,6.9317615
224,bank,Security Bank,POINT (125.3547283 6.7562115),125.3547283,6.7562115
225,bank,EastWest Rural Bank,POINT (125.1881413 6.1193023),125.1881413,6.1193023
226,bank,BDO,POINT (122.5844414 7.7804382),122.5844414,7.7804382
227,bank,Security Bank,POINT (124.2392292 8.228715899999999),124.2392292,8.2287159
228,bank,BDO,POINT (124.2366573 8.228847099999999),124.2366573,8.2288471
229,bank,Metrobank,POINT (123.8052841 8.482294599999999),123.8052841,8.4822946
230,bank,Toril Community Cooperative,POINT (125.4970572 7.013424),125.4970572,7.013424
231,bank,1st Valley Bank,POINT (123.770029 7.8996525),123.770029,7.8996525
232,bank,RBTC Bank,POINT (123.7722566 7.9207368),123.7722566,7.9207368
233,bank,1st Valley Bank,POINT (123.7728058 7.9234402),123.7728058,7.9234402
234,bank,1st Valley Bank,POINT (123.7845675 8.0238341),123.7845675,8.0238341
235,bank,Rural Bank of Digos,POINT (125.0535067 7.2431244),125.0535067,7.2431244
236,bank,ACDI Multi Purpose Cooperative,POINT (124.6294454 8.487696),124.6294454,8.487696
237,bank,FICCO,POINT (125.502785 7.0913849),125.502785,7.0913849
238,bank,Consolidated Cooperative Bank,POINT (125.3574985 6.7462525),125.3574985,6.7462525
239,bank,RCBC,POINT (124.6442983 8.4792466),124.6442983,8.4792466
240,bank,Philippine Farmer's Bank,POINT (124.6441745 8.4792951),124.6441745,8.4792951
241,bank,UCPB,POINT (124.644597 8.479600700000001),124.644597,8.4796007
242,bank,South Bank,POINT (124.6447815 8.4804057),124.6447815,8.4804057
243,bank,Center Point Arcade,POINT (124.6478498 8.4794245),124.6478498,8.4794245
244,bank,Xavier Tibod Bank Inc.,POINT (124.645144 8.476960399999999),124.645144,8.4769604
245,bank,City Savings Bank,POINT (124.6479572 8.480672800000001),124.6479572,8.4806728
246,bank,BPI,POINT (123.8421788 8.145085),123.8421788,8.145085
